PO_NO,PL_NO,DLVRY_START_DT,DLVRY_END_DT,DLVRY_QTY,DROP_FLAG,EXTND_DP,RNOTE_QTY,IMMS_PO_SR
B1560135,70011930,23-12-15,30-01-16,200,Y,30-01-16,0,
B1560205,72080024,14-03-16,18-04-16,500,Y,18-04-16,0,
B1560205,72080085,14-03-16,18-04-16,500,Y,18-04-16,0,
B1660060,81986075,30-08-16,30-09-16,50,Y,30-09-16,0,
B1720366,33581400,12-12-17,11-01-18,500,Y,11-01-18,0,
B1760078,43070498,21-09-17,31-10-17,50,Y,31-10-17,0,
B1760078,70011874,21-09-17,31-10-17,100,Y,31-10-17,0,
B1760078,71010336,21-09-17,31-10-17,50,Y,31-10-17,0,
B1760078,71010350,21-09-17,31-10-17,25,Y,31-10-17,0,
B1760078,71010378,21-09-17,31-10-17,200,Y,31-10-17,0,
B1760078,71985049,21-09-17,31-10-17,50,Y,31-10-17,0,
B1760078,72090728,21-09-17,31-10-17,500,Y,31-10-17,0,
B1760078,72094965,21-09-17,31-10-17,5,Y,31-10-17,0,
B1760078,72208077,21-09-17,31-10-17,50,Y,31-10-17,0,
B1760078,77010000,21-09-17,31-10-17,500,Y,31-10-17,0,
B1860010,72080024,03-05-18,31-08-18,2000,Y,31-08-18,0,
BP180002,MLOZOL,28-05-18,12-06-18,1500,N,12-06-18,0,
BP180003,MLFASK,28-05-18,12-06-18,60,N,12-06-18,0,
BP180004,MLTLMA,28-05-18,12-06-18,10500,N,12-06-18,0,
BP180005,MLJNUM,28-05-18,12-06-18,900,N,12-06-18,0,
BP180008,MLOMEGA3,28-05-18,12-06-18,3300,N,12-06-18,0,
BP180009,MLGLU25,30-05-18,14-06-18,6000,N,14-06-18,0,
BP180010,ML73411A,30-05-18,14-06-18,1450,N,14-06-18,0,
BP180011,MLZLP,30-05-18,14-06-18,3450,N,14-06-18,0,
BP180012,ML60038T,30-05-18,14-06-18,3000,N,14-06-18,0,
BP180013,MLDFCT,30-05-18,14-06-18,4500,N,14-06-18,0,
BP180014,MLKCRT,30-05-18,14-06-18,150,N,14-06-18,0,
BP180015,MLFRIN,30-05-18,14-06-18,3700,N,14-06-18,0,
BP180016,MLMCN6,30-05-18,14-06-18,450,N,14-06-18,0,
BP180017,MLPCMS,30-05-18,14-06-18,300,N,14-06-18,0,
BP180018,MLBGS,30-05-18,14-06-18,700,N,14-06-18,0,
BP180019,MLDLK3,31-05-18,15-06-18,1660,N,15-06-18,0,
BP180020,ML74590,31-05-18,15-06-18,450,N,15-06-18,0,
BP180021,MLFRC200,31-05-18,15-06-18,3990,N,15-06-18,0,
BP180022,MLPIR12,02-06-18,17-06-18,600,N,17-06-18,0,
BP180023,ML62700A,07-06-18,22-06-18,15300,N,22-06-18,0,
BP180024,MLPCM6,07-06-18,22-06-18,4995,N,22-06-18,0,
BP180025,ML73100T,07-06-18,22-06-18,24000,N,22-06-18,0,
BP180026,MLOFOR,07-06-18,22-06-18,10000,N,22-06-18,0,
BP180027,MLER6,07-06-18,22-06-18,33,N,22-06-18,0,
BP180028,MLGLU15,09-06-18,24-06-18,13500,N,24-06-18,0,
BP180029,MLHIPAT,15-06-18,30-06-18,6500,N,30-06-18,0,
BP180030,MLMET1,15-06-18,30-06-18,2000,N,30-06-18,0,
BP180031,MLG60,15-06-18,30-06-18,2000,N,30-06-18,0,
BP180032,MLB05R,18-06-18,03-07-18,600,N,03-07-18,0,
BP180033,MLDEC,15-06-18,30-06-18,84,N,30-06-18,0,
BP180034,MLCTD6,15-06-18,30-06-18,1500,N,30-06-18,0,
BP180035,MLNPFC,21-06-18,06-07-18,75,N,06-07-18,0,
BP180036,MLBCI,21-06-18,06-07-18,600,N,06-07-18,0,
BP180037,MLTE4CR,21-06-18,06-07-18,2100,N,06-07-18,0,
BP180038,MLSCF,21-06-18,06-07-18,210,N,06-07-18,0,
BP180039,MLRXM4,21-06-18,06-07-18,300,N,06-07-18,0,
BP180040,ML72059,21-06-18,06-07-18,5700,N,06-07-18,0,
BP180041,MLCVSYL,21-06-18,06-07-18,300,N,06-07-18,0,
BP180042,MLCZP1,21-06-18,06-07-18,500,N,06-07-18,0,
BP180043,MLBC5,21-06-18,06-07-18,10000,N,06-07-18,0,
BP180044,MLDELOK,21-06-18,06-07-18,1600,N,06-07-18,0,
BP180045,MLDNTG,21-06-18,06-07-18,250,N,06-07-18,0,
